DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Canberra,GRN,The Greens,HOLLO,Tim
Eden-Monaro,LDP,Liberal Democrats,HOLMES,Maxwell
Tangney,LDP,Liberal Democrats,HOLROYD,Jacqueline
Groom,IND,Independent,HOLT,Suzie
Forde,ALP,Australian Labor Party,HOLZBERGER,Rowan
Richmond,NP,The Nationals,HONE,Kimberly
Barton,UAPP,United Australia Party,HONOS,Dimitri
Lilley,UAPP,United Australia Party,HOOGLAND,Gerardine Louise
Calare,IND,Independent,HOOK,Kate
Lyne,LDP,Liberal Democrats,HORNSHAW,Mark
Wills,AJP,Animal Justice Party,HORSFALL,Leah
Goldstein,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOULT,Brandon
Fowler,GRN,The Greens,HOWARD,Avery
Makin,LP,Liberal,HOWARD-JONES,Alan
Petrie,LNP,Liberal National Party of Queensland,HOWARTH,Luke
Parkes,IND,Independent,HOWE,Stuart
Mackellar,GRN,The Greens,HRNJAK,Ethan
Moreton,LNP,Liberal National Party of Queensland,HUANG,Steven
Brand,LP,Liberal,HUDSON,Peter
Whitlam,ON,Pauline Hanson's One Nation,HUGHES,Colin
New England,ALP,Labor,HUGHES,Laura
Bass,LDP,Liberal Democrats,HUMBLE,Stephen
Deakin,GVIC,The Greens,HUMPHREYS,Rob
Herbert,GRN,Queensland Greens,HUMPHREYS,Scott
Canning,ALP,Australian Labor Party,HUNT,Amanda
Chifley,ALP,Labor,HUSIC,Ed
Newcastle,IMO,Informed Medical Options Party,HUSSEY,William
Hawke,VNS,Victorian Socialists,HYNES,Jack
Aston,ON,Pauline Hanson's One Nation,IBBOTSON,Craig
Paterson,GRN,The Greens,IHLEIN,Louise
Lalor,ON,Pauline Hanson's One Nation,INGARFILL,James
Cowan,AUC,Australian Christians,IRADUKUNDA,Sylvia
Dunkley,UAPP,United Australia Party,IRVINE,Adrian Kain
Gellibrand,UAPP,United Australia Party,ISAC,Abraham
Macquarie,LDP,Liberal Democrats,JACKSON,James
Dawson,GAP,The Great Australian Party,JACKSON,Jim
Kingston,UAPP,United Australia Party,JACKSON,Russell
Wide Bay,IND,Independent,JACOBI,Kelli
Grayndler,GRN,The Greens,JACOBS,Rachael
Reid,GRN,The Greens,JAGO,Charles
Lindsay,ON,Pauline Hanson's One Nation,JAGO,Max
Fenner,LDP,Liberal Democrats,JAKEMAN,Guy
Calare,UAPP,United Australia Party,JANNIS,Adam John
Blair,LDP,Liberal Democrats,JAQUES,Michelle
Brisbane,ALP,Australian Labor Party,JARRETT,Madonna
Wills,GVIC,The Greens,JEFFORD,Sarah
Riverina,ALP,Labor,JEFFRESON,Mark
La Trobe,AJP,Animal Justice Party,JEGES,Helen
Leichhardt,KAP,Katter's Australian Party (KAP),JENSEN,Rod
Wide Bay,IND,Independent,JEROME,Tim
Fremantle,UAPP,United Australia Party,JINMAN,Stella
Durack,ON,Pauline Hanson's One Nation,JOHANNSEN,Brenton
Higgins,REAS,Reason Australia,JOHNSON,Andrew
Franklin,LP,Liberal,JOHNSON,Kristy Maree
Bowman,TNL,TNL,JOHNSON,Phil
Hindmarsh,ON,Pauline Hanson's One Nation,JOHNSON,Walter
Dunkley,AJP,Animal Justice Party,JOHNSTON,Elizabeth
Lyons,GRN,The Greens,JOHNSTONE,Liz
Capricornia,GRN,Queensland Greens,JONES,Mick
Richmond,IND,Independent,JONES,Nathan
Corio,ON,Pauline Hanson's One Nation,JONES,Robert
Whitlam,ALP,Labor,JONES,Stephen
Watson,ON,Pauline Hanson's One Nation,JORGENSEN,Alan
New England,NP,The Nationals,JOYCE,Barnaby
Corangamite,CYA,Australian Federation Party,JUHASZ,Stephen
Greenway,LDP,Liberal Democrats,KACHWALLA,Adam
Wentworth,GRN,The Greens,KANAK,Dominic WY
Riverina,ASP,"Shooters, Fishers and Farmers Party",KARAITIANA,Steve
Lingiari,LDP,Liberal Democrats,KASPAREK,George
Kennedy,KAP,Katter's Australian Party (KAP),KATTER,Bob
Werriwa,LP,Liberal,KAYAL,Sam
Cooper,ALP,Australian Labor Party,KEARNEY,Ged
Macquarie,AJP,Animal Justice Party,KEIGHTLEY,Greg
Hughes,UAPP,United Australia Party,KELLY,Craig
Maranoa,ON,Pauline Hanson's One Nation,KELLY,Mike
Chisholm,UAPP,United Australia Party,KEMPSON,Melanie Merle
Fowler,ALP,Labor,KENEALLY,Kristina
Bennelong,LP,Liberal,KENNEDY,Simon
Brisbane,AJP,Animal Justice Party,KENNEDY,Tiana
Wannon,UAPP,United Australia Party,KENSEN,Craige
Burt,ALP,Australian Labor Party,KEOGH,Matt
Maranoa,ALP,Australian Labor Party,KERRIGAN,Dave
Paterson,IMO,Informed Medical Options Party,KETAS,Angela
Wills,ALP,Australian Labor Party,KHALIL,Peter
Reid,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",KHALILI-NAGHADEH,Sahar
Chifley,IND,Independent,KHAN,Ammar
Fairfax,UAPP,United Australia Party,KHOURY,Lisa
Banks,,,KHOUW,Steve
Grayndler,IND,Independent,KILHAM,Sarina
Page,TNL,TNL,KILLINGBECK,Serge
Ballarat,ALP,Australian Labor Party,KING,Catherine
Chisholm,LDP,Liberal Democrats,KING,Ethelyn
Brand,ALP,Australian Labor Party,KING,Madeleine
Shortland,ON,Pauline Hanson's One Nation,KING,Quintin
Mallee,UAPP,United Australia Party,KING,Stuart William
North Sydney,IMO,Informed Medical Options Party,KINNEY,Lesley
Bruce,GVIC,The Greens,KIRWAN,Matthew
Bradfield,IND,Independent,KITSON,Janine
North Sydney,TNL,TNL,KLINE,Victor
Casey,AJP,Animal Justice Party,KLOP,Andrew
Fremantle,WAP,WESTERN AUSTRALIA PARTY,KNAPP,Janetia
Brisbane,UAPP,United Australia Party,KNUDSON,Justin Marc
Scullin,LDP,Liberal Democrats,KOELMEYER,Eric
Macarthur,LDP,Liberal Democrats,KORMAN,Scott
Berowra,ALP,Labor,KOSCHINSKI,Benson
Watson,UAPP,United Australia Party,KOUKOULIS,John
Fremantle,LP,Liberal,KOUL,Bill
Parramatta,LP,Liberal,KOVACIC,Maria
Oxley,ON,Pauline Hanson's One Nation,KOZLOWSKI,Dylan
Fenner,LP,Liberal,KUSTER,Nathan
O'Connor,ON,Pauline Hanson's One Nation,KUSTRIN,Stan
Cooper,UAPP,United Australia Party,LA ROSA,Adam
Hawke,GAP,The Great Australian Party,LACEY,Michael Edward
Mallee,CEC,Citizens Party,LAHY,Chris
Nicholls,LDP,Liberal Democrats,LAIRD,Tim
Bonner,GRN,Queensland Greens,LAKEY,Bernard
Capricornia,LNP,Liberal National Party of Queensland,LANDRY,Michelle
Flinders,GVIC,The Greens,LANE,Colin
Gippsland,ALP,Australian Labor Party,LANGLEY,Jannette
Cooper,VNS,Victorian Socialists,LARKIN,Kath
Hunter,IND,Independent,LARUFFA,Scott Fulvio
Gorton,CYA,Australian Federation Party,LASSIG,Paul
Bendigo,IND,Independent,LAURIE,James
Cowan,WAP,WESTERN AUSTRALIA PARTY,LAVERACK,Roland
Hasluck,ALP,Australian Labor Party,LAWRENCE,Tania
Robertson,IAP,Indigenous - Aboriginal Party of Australia,LAWSON,Jeffrey Wayne
Bennelong,ALP,Labor,LAXALE,Jerome
Parramatta,AJP,Animal Justice Party,LAXMANALAL,Rohan
Makin,CYA,Australian Federation Party,LAZOOTIN,Abram Nicholas
Fowler,IND,Independent,LE,Dai
New England,IND,Independent,LEDGER,Natasha
Lingiari,CEC,Citizens Party,LEE,Thong Sum
Berowra,LP,Liberal,LEESER,Julian
Braddon,JLN,Jacqui Lambie Network,LEHMANN,Sophie
Fenner,ALP,Australian Labor Party,LEIGH,Andrew
Monash,IND,Independent,LEONARD,Deb
Wentworth,LDP,Liberal Democrats,LEWKOVITZ,Daniel
Farrer,LP,Liberal,LEY,Sussan
Cooper,GVIC,The Greens,LIDDLE,Celeste
Tangney,ALP,Australian Labor Party,LIM,Sam
Ryan,AJP,Animal Justice Party,LIPMAN,Jina
Longman,LDP,Liberal Democrats,LIPPONER,Jens
Maranoa,LNP,Liberal National Party of Queensland,LITTLEPROUD,David
Chisholm,LP,Liberal,LIU,Gladys
Deakin,IND,Independent,LIU,Qian
Isaacs,AJP,Animal Justice Party,LIVINGSTONE,Alix
Lilley,LNP,Liberal National Party of Queensland,LOBO,Vivian
Spence,LP,Liberal,LOCK,Shawn
Nicholls,ALP,Australian Labor Party,LODWICK,Bill
Robertson,LDP,Liberal Democrats,LOGAN,Bentley
Fremantle,LDP,Liberal Democrats,LOH,Yan
Solomon,ON,Pauline Hanson's One Nation,LOHSE,Emily
Flynn,ON,Pauline Hanson's One Nation,LOHSE,Sharon
Gorton,IND,Independent,LONCAR,Steven J
Brand,GRN,The Greens (WA),LONSDALE,Heather
Berowra,CYA,Australian Federation Party,LOUIE,David James
Ryan,ON,Pauline Hanson's One Nation,LOVE,Joel
Franklin,AJP,Animal Justice Party,LOVE,Katrina
Bradfield,ON,Pauline Hanson's One Nation,LOWE,Michael
Blair,AJP,Animal Justice Party,LOWERY,Angela
Page,IND,Independent,LUKE,Hanabeth
Indi,LP,Liberal,LYMAN,Ross
Braddon,ALP,Australian Labor Party,LYNCH,Chris
Kooyong,ALP,Australian Labor Party,LYNCH,Peter
Kennedy,LNP,Liberal National Party of Queensland,MACDONALD,Bryce
Solomon,CLP,NT CLP,MACFARLANE,Tina
Dobell,UAPP,United Australia Party,MACKIN,Dean James
Lalor,CYA,Australian Federation Party,MALLIAROS,Peter
Pearce,ON,Pauline Hanson's One Nation,MALLOY,Aaron
Gilmore,UAPP,United Australia Party,MALONEY,Jordan Lindsay
Pearce,CYA,Australian Federation Party,MARCH,Nigel
Fowler,ON,Pauline Hanson's One Nation,MARGOS,Tony
Forrest,LP,Liberal,MARINO,Nola
Tangney,UAPP,United Australia Party,MARK,Travis Llewellyn
Forrest,LDP,Liberal Democrats,MARKHAM,Paul
Richmond,UAPP,United Australia Party,MARKS,Robert James
Corio,ALP,Australian Labor Party,MARLES,Richard
Flinders,ON,Pauline Hanson's One Nation,MARR,Cyndi
Kingsford Smith,ON,Pauline Hanson's One Nation,MARR,Darrin
Corangamite,GVIC,The Greens,MARSHALL,Alex
Brand,LDP,Liberal Democrats,MARSHALL,Alison
Pearce,LDP,Liberal Democrats,MARSHALL,David
Riverina,UAPP,United Australia Party,MARTELOZZO,Daniel
Reid,LP,Liberal,MARTIN,Fiona
Braddon,AJP,Animal Justice Party,MARTIN,Keone Patrick
Berowra,UAPP,United Australia Party,MARTINIC,Christopher
Hawke,TNL,TNL,MARTUCCI,Max
Swan,ALP,Australian Labor Party,MASCARENHAS,Zaneta
Robertson,IMO,Informed Medical Options Party,MASON,Kate
Holt,GVIC,The Greens,MATHEW,Sujit
Forde,ON,Pauline Hanson's One Nation,MATTERSON,Seschelle
Franklin,UAPP,United Australia Party,MATTHEWS,Lisa
Shortland,UAPP,United Australia Party,MAXWELL,Kenneth John
Bowman,GRN,Queensland Greens,MAZLIN,Ian
Sydney,UAPP,United Australia Party,McALISTER,Ryan
Wannon,GVIC,The Greens,McALLISTER,Hilary
Eden-Monaro,ALP,Labor,McBAIN,Kristy
Dobell,ALP,Labor,McBRIDE,Emma
Newcastle,GRN,The Greens,McCABE,Charlotte
Gilmore,GRN,The Greens,McCALLUM,Carmel
Isaacs,UAPP,United Australia Party,McCAMISH,Scott Anson
Forde,AJP,Animal Justice Party,McCARTHY,Linda
Macnamara,LDP,Liberal Democrats,McCATHIE,Rob
Lindsay,LDP,Liberal Democrats,McCLURE,Gareth
Mallee,GVIC,The Greens,McCOLL,Sam
Riverina,NP,The Nationals,McCORMACK,Michael
Herbert,AJP,Animal Justice Party,MCCORMACK,Toni
Riverina,LDP,Liberal Democrats,McCRAE,Dean
Wright,ALP,Australian Labor Party,McCREADIE,Pam
Hasluck,LDP,Liberal Democrats,McCREANOR,Steven
Burt,UAPP,United Australia Party,McCURRY,Joshua
Sturt,GRN,The Greens,McCUSKER,Katie
Gippsland,LDP,Liberal Democrats,McDONALD,Jim
Maranoa,UAPP,United Australia Party,McDONALD,Nathan John
Lingiari,GRN,The Greens,McFARLAND,Blair
Shortland,LP,Liberal,McGILL,Nell
Mayo,UAPP,United Australia Party,McGRAIL,Samantha
Ballarat,LDP,Liberal Democrats,McGRATH,Julia
Robertson,GRN,The Greens,McGRATH,Shelly
Lilley,IMO,Informed Medical Options Party,McGRATH,Stephen
Lindsay,LP,Liberal,McINTOSH,Melissa
Mitchell,ON,Pauline Hanson's One Nation,McKENZIE,Donald
Flinders,LP,Liberal,McKENZIE,Zoe
Hinkler,GRN,Queensland Greens,McLEAN,Andrew
Eden-Monaro,IMO,Informed Medical Options Party,McLENNAN,Toni
Lingiari,UAPP,United Australia Party,MCLEOD,Allan
Sturt,LDP,Liberal Democrats,McMAHON,Thomas
Herbert,IMO,Informed Medical Options Party,McMAHON,Toni
Adelaide,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",McMILLAN,Matthew
Oxley,LNP,Liberal National Party of Queensland,MCMILLEN,Kyle
Griffith,UAPP,United Australia Party,McMULLAN,Robert Gordon
Cowper,ALP,Labor,McMULLEN,Keith
Hunter,ON,Pauline Hanson's One Nation,McNAMARA,Dale
Durack,GRN,The Greens (WA),McNEAIR,Bianca
Durack,GAP,The Great Australian Party,McRAE,Adrian
McEwen,UAPP,United Australia Party,McRAE,Paul Joseph
Monash,UAPP,United Australia Party,McSHANE,Christine Ann
Swan,LP,Liberal,McSWEENEY,Kristy
Wannon,LDP,Liberal Democrats,MEAD,Amanda
Mitchell,LDP,Liberal Democrats,MEAD,Clinton
Hindmarsh,UAPP,United Australia Party,MELISSOURGOS,George
Hume,IND,Independent,MENERIPITIYAGE DONA,Sheneli
Hinkler,ON,Pauline Hanson's One Nation,MENHENNETT,Zak
Higgins,CYA,Australian Federation Party,MENOUDAKIS,Suzie
Dobell,LDP,Liberal Democrats,METHERELL,Eliot
Forrest,ON,Pauline Hanson's One Nation,MEZGER,Shane
Warringah,ALP,Labor,MICKLEBURGH,David
O'Connor,CYA,Australian Federation Party,MIDDLE,Isaac
Dunkley,ON,Pauline Hanson's One Nation,MIDDLEBROOK,Scott
Durack,UAPP,United Australia Party,MIDDLETON,Andrew Charles
Bendigo,ON,Pauline Hanson's One Nation,MIHAIL,Ben
Canberra,ON,Pauline Hanson's One Nation,MILES,James
Page,GRN,The Greens,MILLER,Kashmir
Grey,LDP,Liberal Democrats,MILLER,Peter
Boothby,ALP,Australian Labor Party,MILLER-FROST,Louise
Braddon,ON,Pauline Hanson's One Nation,MINEUR,Ludo
Canberra,LP,Liberal,MINSON,Slade
Lyons,ALP,Australian Labor Party,MITCHELL,Brian
Petrie,ON,Pauline Hanson's One Nation,MITCHELL,Marcus
McEwen,ALP,Australian Labor Party,MITCHELL,Rob
Fraser,GVIC,The Greens,MITCHELL-SEARS,Bella
Kooyong,GVIC,The Greens,MITCHEM,Piers
Canning,GRN,The Greens (WA),MOFFAT,Jodie
Leichhardt,IMO,Informed Medical Options Party,MOGOROVICH,Silvia
Lalor,IND,Independent,MOINUDDIN,Aijaz
Banks,UAPP,United Australia Party,MOMIRCEVSKI,Marika
Hasluck,ON,Pauline Hanson's One Nation,MONCK,Ian
Pearce,AUC,Australian Christians,MONTGOMERY,Vanessa
Bruce,LP,Liberal,MOODY,James
Fisher,UAPP,United Australia Party,MOORE,Tony Richard
Gellibrand,CYA,Australian Federation Party,MOORS,Sharynn
Monash,GVIC,The Greens,MORGAN,Mat
Gorton,GVIC,The Greens,MORRIS,Praise
Cook,LP,Liberal,MORRISON,Scott
Lindsay,GRN,The Greens,MORSSINK,Pieter
Tangney,LP,Liberal,MORTON,Ben
O'Connor,AUC,Australian Christians,MOSELEY,Justin
La Trobe,UAPP,United Australia Party,MOTT,Merryn
Fraser,ALP,Australian Labor Party,MULINO,Daniel
Corio,UAPP,United Australia Party,MURDOCK,Shane
Chisholm,IND,Independent,MURPHY,Dominique
Robertson,AJP,Animal Justice Party,MURPHY,Patrick
Casey,ON,Pauline Hanson's One Nation,MURPHY,Paul
Dunkley,ALP,Australian Labor Party,MURPHY,Peta
Capricornia,LDP,Liberal Democrats,MURPHY,Steve
Robertson,UAPP,United Australia Party,MURRAY,Barbara-Jane
Hunter,GRN,The Greens,MURRAY,Janet
Capricornia,IND,Independent,MURRAY,Ken
Wentworth,ALP,Labor,MURRAY,Tim
Makin,GRN,The Greens,MUSTACA,Emma
Jagajaga,IND,Independent,MUSTAF,Zahra
Leichhardt,GRN,Queensland Greens,MUSUMECI,Phillip
Blair,GRN,Queensland Greens,MUTTON,Danielle
Macnamara,IND,Independent,MYERS,John B
Calwell,UAPP,United Australia Party,NAIM,Joshua
North Sydney,UAPP,United Australia Party,NALBANDIAN,Robert
Greenway,IND,Independent,NANDA,Love Preet Singh
Calare,GRN,The Greens,NANKERVIS,Kay
Hinkler,UAPP,United Australia Party,NASH,Kristie
Kooyong,AJP,Animal Justice Party,NEHMER,Rachael
Bonner,ON,Pauline Hanson's One Nation,NEIL,Amanda
McEwen,CYA,Australian Federation Party,NEIL,Christopher
Pearce,GRN,The Greens (WA),NELSON,Donna
Mayo,CYA,Australian Federation Party,NEUGEBAUER,Mark
Blair,ALP,Australian Labor Party,NEUMANN,Shayne
Wide Bay,IMO,Informed Medical Options Party,NEWLAND,Andrea
Chisholm,GVIC,The Greens,NEWMAN,Sarah
Fowler,LP,Liberal,NGUYEN,Courtney
Perth,LDP,Liberal Democrats,NICKOLS,Evan
Boothby,LDP,Liberal Democrats,NIKOLIC,Aleksandra
Werriwa,UAPP,United Australia Party,NIKOLIC,Tony Mark
Eden-Monaro,LP,Liberal,NOCKLES,Jerry
Richmond,GRN,The Greens,NOLAN,Mandy
Corio,GVIC,The Greens,NORTHEAST,Simon
Cowper,GRN,The Greens,NOTT,Timothy
Holt,LDP,Liberal Democrats,NUNEZ-SILVA,Matthew
Dunkley,GVIC,The Greens,O'BRIEN,Liam
Wide Bay,LNP,Liberal National Party of Queensland,O'BRIEN,Llew
Fadden,UAPP,United Australia Party,O'BRIEN,Nathan Grant
Fairfax,LNP,Liberal National Party of Queensland,O'BRIEN,Ted
Indi,DHJP,Derryn Hinch's Justice Party,O'CONNELL,Lachlan
Gorton,ALP,Australian Labor Party,O'CONNOR,Brendan
Flinders,IND,Independent,O'CONNOR,Despi
Lindsay,UAPP,United Australia Party,O'CONNOR,Joseph
Monash,ALP,Australian Labor Party,O'DONNELL,Jessica
Isaacs,LDP,Liberal Democrats,O'DONNELL,Sarah
Robertson,ON,Pauline Hanson's One Nation,O'GRADY,Billy
Forde,UAPP,United Australia Party,O'HALLORAN,Roxanne
Brand,WAP,WESTERN AUSTRALIA PARTY,O'LOGHLEN,Michael
Hotham,ALP,Australian Labor Party,O'NEIL,Clare
McMahon,GRN,The Greens,O'NEILL,Astrid
Leichhardt,SAL,Socialist Alliance,O'SHANE,Pat
Hindmarsh,GRN,The Greens,O'SULLIVAN,Patrick
Menzies,ALP,Australian Labor Party,OAKLEY,Naomi
Paterson,UAPP,United Australia Party,OLBOURNE,Jason Mark
Riverina,ON,Pauline Hanson's One Nation,ORCHARD,Richard
Riverina,GRN,The Greens,ORGAN,Michael
Nicholls,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",OTTO,Andrea
Groom,CYA,Australian Federation Party,OTTO,Ryan
Pearce,WAP,WESTERN AUSTRALIA PARTY,PAICE,Jim
Swan,CYA,Australian Federation Party,PALLIER,Carl
Jagajaga,CYA,Australian Federation Party,PALMARINI,Brendan
Moncrieff,ALP,Australian Labor Party,PALMER,Glen
Macquarie,IMO,Informed Medical Options Party,PALMER,Michelle
Fowler,UAPP,United Australia Party,PANICH,Lela Lepa
Barker,IND,Independent,PANNELL,Vince
Maranoa,GRN,Queensland Greens,PARKER,Ellisa
Barker,LP,Liberal,PASIN,Tony
Hunter,UAPP,United Australia Party,PASSFIELD,Geoff
Hindmarsh,AJP,Animal Justice Party,PASTRO,Matt
Corio,LP,Liberal,PATEL,Manish
Dawson,KAP,Katter's Australian Party (KAP),PATERSON,Ciaron
Lalor,UAPP,United Australia Party,PATERSON,Juanita Coral
Warringah,AJP,Animal Justice Party,PATERSON,Kate
Melbourne,ALP,Australian Labor Party,PATERSON,Keir
Scullin,GVIC,The Greens,PATERSON,Patchouli
Greenway,LP,Liberal,PATHI,Pradeep
Macarthur,LP,Liberal,PAUDEL,Binod
Canberra,ALP,Australian Labor Party,PAYNE,Alicia
Corio,LDP,Liberal Democrats,PAYNE,Max
Shortland,IND,Independent,PAYNTER,Basil
McPherson,CYA,Australian Federation Party,PEAD,Gary
Braddon,LP,Liberal,PEARCE,Gavin
Lyne,IND,Independent,PEARCE,Joanne
Herbert,ON,Pauline Hanson's One Nation,PEPE,Diane
Melbourne,LDP,Liberal Democrats,PEPPARD,Richard
Holt,LP,Liberal,PERERA,Ranj
Scullin,LP,Liberal,PERERA,Virosh
Perth,GRN,The Greens (WA),PERKS,Caroline
Moreton,ALP,Australian Labor Party,PERRETT,Graham
Nicholls,UAPP,United Australia Party,PETERSON,Robert
Macquarie,ON,Pauline Hanson's One Nation,PETTITT,Tony
Lyons,JLN,Jacqui Lambie Network,PFITZNER,Troy Robert
Menzies,GVIC,The Greens,PHEASANT,Bill
Burt,WAP,WESTERN AUSTRALIA PARTY,PHELAN,Stephen
Gilmore,ALP,Labor,PHILLIPS,Fiona
Kingston,GRN,The Greens,PHOTAKIS,John
Curtin,GRN,The Greens (WA),PIDGEON,Cameron
Barker,NP,National Party,PIETZSCH,Jonathan
Brand,UAPP,United Australia Party,PIKE,David
Page,ON,Pauline Hanson's One Nation,PIKE,Donna
Bowman,LNP,Liberal National Party of Queensland,PIKE,Henry
Blair,AUVA,Australian Values Party,PITMAN,Maria
Franklin,LDP,Liberal Democrats,PITT,Duane
Hinkler,LNP,Liberal National Party of Queensland,PITT,Keith
Sydney,ALP,Labor,PLIBERSEK,Tanya
Ryan,UAPP,United Australia Party,POLLARD,Kathryn
Barton,ON,Pauline Hanson's One Nation,POLLARD,Phillip
Fairfax,AJP,Animal Justice Party,POOLE,Tash
Melbourne,AJP,Animal Justice Party,POON,Bruce
Perth,AUC,Australian Christians,POWELL,Dean
Moreton,CYA,Australian Federation Party,POWER,Peter
Calwell,ON,Pauline Hanson's One Nation,PRESTON,Mark
Durack,LP,Liberal,PRICE,Melissa
Nicholls,IND,Independent,PRIESTLY,Rob
Dickson,IND,Independent,PROHASKA,Thor
Maribyrnong,GVIC,The Greens,PRYOR,Rhonda
Ballarat,UAPP,United Australia Party,PRYSE-SMITH,Terri Elizabeth
Lyne,UAPP,United Australia Party,PUTLAND,Joel
McPherson,LDP,Liberal Democrats,PYNE,Glenn
Newcastle,CYA,Australian Federation Party,PYWELL,Garth
Barker,ON,Pauline Hanson's One Nation,QUAREMBA,Carlos
Longman,HMP,Legalise Cannabis Australia,QUINLAN,Nigel David
Hawke,ALP,Australian Labor Party,RAE,Sam
Holt,IND,Independent,RAGUPATHY,Ravi
Farrer,UAPP,United Australia Party,RAMOS,Julie
Clark,LDP,Liberal Democrats,RAMSDEN,Ian
Grey,LP,Liberal,RAMSEY,Rowan
Braddon,TLOC,The Local Party,RANKIN,Scott
Chifley,UAPP,United Australia Party,RASKOV,Zvetanka
Lindsay,IMO,Informed Medical Options Party,RAY,Rebekah
Fraser,UAPP,United Australia Party,RAYMOND,Keith James Aaron
Bass,IND,Independent,RAZAY,George
Shortland,LDP,Liberal Democrats,REED,Barry
Ryan,AUP,Australian Progressives,REES,Janine
Robertson,ALP,Labor,REID,Gordon
North Sydney,ALP,Labor,RENSHAW,Catherine
Hunter,ALP,Labor,REPACHOLI,Dan
Greenway,UAPP,United Australia Party,REX,Mark Andrew
Goldstein,UAPP,United Australia Party,REYNOLDS,Catherine Frances
Hindmarsh,CYA,Australian Federation Party,RICHARDS,Dianne
Macquarie,LP,Liberal,RICHARDS,Sarah
Maranoa,ASP,"Shooters, Fishers and Farmers Party",RICHARDSON,Malcolm J
Hotham,UAPP,United Australia Party,RIDGWAY,Bruce Scott
Durack,ALP,Australian Labor Party,RILEY,Jeremiah
Herbert,ALP,Australian Labor Party,RING,John
Kingston,ALP,Australian Labor Party,RISHWORTH,Amanda
Macarthur,GRN,The Greens,RIVERA,Jayden
Fadden,ON,Pauline Hanson's One Nation,ROACH,Sandy
Fadden,LNP,Liberal National Party of Queensland,ROBERT,Stuart
Shortland,AJP,Animal Justice Party,ROBERTS,Bree Suzanne
Griffith,LNP,Liberal National Party of Queensland,ROBERTS,Olivia
Pearce,ALP,Australian Labor Party,ROBERTS,Tracey
Warringah,UAPP,United Australia Party,ROBERTSON,Andrew Colin
Fraser,VNS,Victorian Socialists,ROBERTSON,Catherine
Capricornia,ALP,Australian Labor Party,ROBERTSON,Russell
Melbourne,IND,Independent,ROBSON,Scott
Aston,LDP,Liberal Democrats,ROCHE,Liam
Gellibrand,GVIC,The Greens,RODOREDA,Suzette
Leichhardt,CYA,Australian Federation Party,ROE,Paul
Bass,GRN,The Greens,ROSOL,Cecily
Lindsay,ALP,Labor,ROSS,Trevor
Parkes,LDP,Liberal Democrats,ROTHWELL,Peter
Chifley,LDP,Liberal Democrats,ROUGHLEY,Ben
Scullin,VNS,Victorian Socialists,ROWE,Cameron
Greenway,ALP,Labor,ROWLAND,Michelle
Farrer,LDP,Liberal Democrats,ROWORTH,Ian Christopher
Fowler,LDP,Liberal Democrats,RUNGE,Peter Ronald
Dickson,LDP,Liberal Democrats,RUSSELL,Lloyd
Flinders,IND,Independent,RUSSELL,Sarah
Lingiari,CLP,NT CLP,RYAN,Damien
Lalor,ALP,Australian Labor Party,RYAN,Joanne
Kooyong,IND,Independent,RYAN,Monique
Menzies,CYA,Australian Federation Party,SABHLOK,Sanjeev
Kennedy,IND,Independent,SACKLEY,Jen
Sydney,GRN,The Greens,SAHAI,Chetan
Holt,CYA,Australian Federation Party,SALDANHA,Gregory
McMahon,UAPP,United Australia Party,SALIBA,Marie
Berowra,GRN,The Greens,SALITRA,Tania
Bass,JLN,Jacqui Lambie Network,SALT,Bob
Berowra,LDP,Liberal Democrats,SAMIOS,Nicholas
New England,LDP,Liberal Democrats,SAMIOS,Pavlo
Bean,GRN,The Greens,SAVERY,Kathryn Jane
Menzies,UAPP,United Australia Party,SCAGLIONE,Nathan
Mackellar,IND,Independent,SCAMPS,Sophie
Hinkler,ALP,Australian Labor Party,SCANES,Jason
Sturt,CYA,Australian Federation Party,SCARBOROUGH,Kathy
Bendigo,LP,Liberal,SCHADE,Darin
La Trobe,GVIC,The Greens,SCHILLING,Michael
Sturt,TNL,TNL,SCHMIDT,Chris
Watson,GRN,The Greens,SCHOTT,Bradley
Fisher,ON,Pauline Hanson's One Nation,SCHRIEVER,Sam
Macnamara,AJP,Animal Justice Party,SCHULTZ,Ben
Moncrieff,ON,Pauline Hanson's One Nation,SCHULTZ,Leeanne
Flynn,IND,Independent,SCOTT,Duncan
Mayo,ON,Pauline Hanson's One Nation,SCOTT,Tonya
Hasluck,UAPP,United Australia Party,SCOTT,Will
Lingiari,ALP,A.L.P.,SCRYMGOUR,Marion
Page,LDP,Liberal Democrats,SEARLES,Thomas
Ballarat,CYA,Australian Federation Party,SEDGMAN,Kerryn
Goldstein,LDP,Liberal Democrats,SEGAL,David
Solomon,UAPP,United Australia Party,SELFE,Tayla Elise
Hume,ASP,"Shooters, Fishers and Farmers Party",SELLER,Ross Edward
Mitchell,ALP,Labor,SELVARAJ,Immanuel
Chifley,GRN,The Greens,SELVENTHIRAN,Sujan
Higgins,GVIC,The Greens,SEMMENS,Sonya
Wills,CYA,Australian Federation Party,SERGI,Sam
Hughes,IND,Independent,SEYMOUR,Linda
