DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Banks,LDP,Liberal Democrats,COCKER,Elouise Ivy
Corangamite,ALP,Australian Labor Party,COKER,Libby
Casey,IND,Independent,COLE,Craig
Banks,LP,Liberal,COLEMAN,David
Franklin,ALP,Australian Labor Party,COLLINS,Julie
Bennelong,UAPP,United Australia Party,COLLYER,Rhys Ian
Cowper,NP,The Nationals,CONAGHAN,Pat
Canning,IMO,Informed Medical Options Party,CONGRENE,Judith
Cowan,LP,Liberal,CONNELLY,Vince
Kooyong,AUVA,Australian Values Party,CONNOLLY,David
Dobell,GRN,The Greens,CONNOR,Cath
Gorton,ON,Pauline Hanson's One Nation,CONNOR,Daniel
Perth,GAP,The Great Australian Party,CONNOR,Sean
Shortland,ALP,Labor,CONROY,Pat
Gilmore,LP,Liberal,CONSTANCE,Andrew
Bean,UAPP,United Australia Party,CONWAY,Sean
Newcastle,UAPP,United Australia Party,COOK,Amanda
Aston,GVIC,The Greens,COOKSON,Asher
Rankin,ON,Pauline Hanson's One Nation,COOKSON,Glen
Dunkley,LP,Liberal,COOMBES,Sharn
Oxley,UAPP,United Australia Party,COOMBES,Timothy
Moore,GRN,The Greens (WA),COOPER,Mark
Ryan,LDP,Liberal Democrats,COORY,Damian
Ryan,ALP,Australian Labor Party,COSSAR,Peter
Rankin,GRN,Queensland Greens,COTTER,Neil
Boothby,ON,Pauline Hanson's One Nation,COUCH,Bob
Deakin,ON,Pauline Hanson's One Nation,COUGHLAN,Natasha
Parkes,NP,The Nationals,COULTON,Mark
Leichhardt,ON,Pauline Hanson's One Nation,COURT,Geena
Bradfield,GRN,The Greens,COUSINS,Martin
Kennedy,GRN,Queensland Greens,COX,Jennifer
Mitchell,GRN,The Greens,COX,Matt
Kooyong,ON,Pauline Hanson's One Nation,COYNE,Josh
Rankin,UAPP,United Australia Party,CRANK,Jeff
Dawson,GRN,Queensland Greens,CREEN,Paula
Brand,AUC,Australian Christians,CRICHTON,Jayne
Leichhardt,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",CROPP,Adam
Moncrieff,IMO,Informed Medical Options Party,CUDMORE,Timothy
McPherson,AUVA,Australian Values Party,CULLEN,Andy
Curtin,CYA,Australian Federation Party,CULLITY,Judith
Blair,UAPP,United Australia Party,CUNNINGHAM,Quinton Stewart
Fraser,LDP,Liberal Democrats,CURSIO,Anthony
Hawke,UAPP,United Australia Party,CUTHBERTSON,Andrew Glenn
Corangamite,DHJP,Derryn Hinch's Justice Party,D'ARGENT,Jean-Marie
Maribyrnong,LP,Liberal,D'SILVA,Mira
Maribyrnong,VNS,Victorian Socialists,DADICH,Daniel Nair
Pearce,UAPP,United Australia Party,DALBY,Trevor Richard
Kooyong,DHJP,Derryn Hinch's Justice Party,DALE,Michele
Melbourne,LP,Liberal,DAMCHES,James
Ryan,CYA,Australian Federation Party,DANCOISNE,Axel
Mitchell,UAPP,United Australia Party,DANIEL,Linda
Goldstein,IND,Independent,DANIEL,Zoe
Reid,UAPP,United Australia Party,DAOUD,Jamal
Chisholm,CEC,Citizens Party,DARE,Ryan
Franklin,GRN,The Greens,DARKO,Jade
Rankin,LNP,Liberal National Party of Queensland,DARWEN,Paul
Farrer,GRN,The Greens,DAVERN,Eli
Indi,ALP,Australian Labor Party,DAVID,Nadia
Clark,AJP,Animal Justice Party,DAVIES,Casey
Hunter,AJP,Animal Justice Party,DAVIES,Victoria
Clark,ALP,Australian Labor Party,DAVIS,Simon
Kingsford Smith,GRN,The Greens,DAVIS,Stuart
Nicholls,CEC,Citizens Party,DAVY,Jeff
Bass,ON,Pauline Hanson's One Nation,DAVY,Melanie
Kingston,IND,Independent,DE JONGE,Rob
Hume,LDP,Liberal Democrats,DE LIMA,Joaquim Eduardo
Fraser,ON,Pauline Hanson's One Nation,de PYLE,Sabine
Bruce,ON,Pauline Hanson's One Nation,DEANS,Hayley
Page,ALP,Labor,DEEGAN,Patrick
Spence,GRN,The Greens,DEEX,David
Fadden,ALP,Australian Labor Party,DEL FABBRO,Letitia
Grayndler,AJP,Animal Justice Party,DELLO-IACOVO,Michael Armando
Moncrieff,LDP,Liberal Democrats,DEMETRE,Diane
Hinkler,IND,Independent,DEMPSEY,Jack
Grey,CYA,Australian Federation Party,DEMPSEY,Tracey
Petrie,ALP,Australian Labor Party,DENTON,Mick
Warringah,LP,Liberal,DEVES,Katherine
Bennelong,DPDA,Democratic Alliance,DHONGDUE,Kyinzom
Oxley,ALP,Australian Labor Party,DICK,Milton
Mackellar,ON,Pauline Hanson's One Nation,DICKSON,Darren
