bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
Cindy McLeish MP ,ongoing,103,5098.5,1117.875,3964.125,3.5461254612546127,6.664772727272726,0.5517741187384044
City of Melville,ongoing,90,4855.0,1337.5833333333333,3583.5,2.679085415238926,5.65900607444644,0.532121731586619
City of Parramatta,ongoing,93,9103.5,2702.375,6313.500000000001,2.3362782737406915,3.058647214206159,0.6689140761124902
City of Sydney,off_campaign,28,7786.0,0.0,7786.0,,22.1055190635206,0.14978772832613063
Class Actions Australia,off_campaign,39,7930.5,9791.833333333332,0.0,0.0,-23.055513948698746,0.12108285835116016
Climate 200,election_only,1351,629674.5,516175.75,114974.5,0.22274293203429257,-5.535370709498818,0.49991071812975557
Clinton de Young,ongoing,31,2534.5,841.5,1593.3333333333333,1.8934442463854229,11.105773838045039,0.260655688688066
Clover Moore Independent Team,off_campaign,34,6183.0,8020.25,0.0,0.0,-25.414684704342136,0.03182492050513617
Cody James Davies,ongoing,73,3613.5,754.875,2788.5,3.6939890710382515,11.952769000498916,0.3629060113344165
Colliers Toowoomba,ongoing,39,2230.5,503.25,1768.5833333333335,3.5143235635038916,4.181393252774663,0.7750485520641781
Comms Declare Inc,election_only,192,11304.0,0.0,11304.0,,7.991703316145991,0.6926267955328463
Conservation Council of Western Australia (CCWA),election_only,26,4987.0,0.0,4991.125,,13.964644386643434,0.46293462104025845
Conservative Political Action Network Ltd,off_campaign,55,29372.5,0.0,24553.0,,20.462434034828448,0.2151830778271539
Construction Forestry Mining Maritime and Energy Union,off_campaign,35,8032.5,0.0,8412.375,,24.881220905426318,0.04631071539197962
Corrine McMillan MP,ongoing,47,2826.5,1106.5,1695.0833333333333,1.5319325199578249,3.0713860784505354,0.4889486387374486
Country Needs People,election_only,47,12326.5,12152.916666666666,365.0,0.030033942469228924,-12.391331948017369,0.4800284244597395
Craig Ondarchie MP,transitional,138,7431.0,5150.833333333333,2366.7916666666665,0.45949684517068434,-8.049836059862498,0.5665073219570151
Cultural Perspectives,election_only,69,4415.5,4415.5,0.0,0.0,-10.214285714285714,0.6071428571428572
D.Cheeseman,ongoing,198,23101.0,7686.875,15792.833333333334,2.0545193376155244,5.517346918856733,0.5650471844765499
Dan Purdie MP,ongoing,62,6469.0,2582.125,4164.75,1.6129157186425909,-0.15715741414676085,0.4103503351673801
Daniel Andrews MP,transitional,474,102763.0,65389.25,40153.95833333333,0.614075835604986,-3.6372461763713453,0.5146718745517342
Daniel Roy Cregan,election_only,47,3626.5,2940.75,735.5833333333333,0.2501346028507467,-8.787535782288252,0.5142001381971008
Daniela De Martino,off_campaign,30,6285.0,0.0,6380.708333333333,,19.614021618364134,0.24652962832174916
Danny Pearson MP for Essendon,ongoing,393,24353.5,462.0,24178.208333333332,52.333784271284266,19.671276501942845,0.2358486786437376
David Adler,ongoing,73,3613.5,1860.375,1769.625,0.9512195121951219,-0.7142857142857156,0.54493006993007
David Crisafulli MP,ongoing,74,10463.0,3856.333333333333,7534.291666666666,1.9537449217737055,-1.5549551244366064,0.7143401618957175
David Davis MP,ongoing,99,5100.5,2458.5,2621.2083333333335,1.0661819537658463,0.9298047436638069,0.5918540090244503
David Gonzalez,election_only,40,2580.0,0.0,2580.0,,7.554318936877077,0.7094492716585741
David J Southwick,ongoing,228,43886.0,2982.2083333333335,41952.87500000001,14.067721068000505,13.059942292412838,0.45995144481015754
David Scaife MLA,transitional,34,1683.0,952.875,750.75,0.7878787878787878,-1.9564164648910416,0.4015911449325493
