hashtag,count_total,election_only,transitional,ongoing,off_campaign,null
equality,27,16,0,3,2,6
smallbusiness,27,0,1,13,7,6
bringitonbennelong,27,27,0,0,0,0
ourdemocracy,26,26,0,0,0,0
australianfarmers,26,26,0,0,0,0
teamclover,26,0,0,0,26,0
thatsnotmyjob,26,26,0,0,0,0
councilelections,26,0,0,0,11,15
sda,26,22,0,2,0,2
auspolitics,26,11,2,9,0,4
workingforwilloughby,26,0,0,26,0,0
socialmedia,26,25,0,0,0,1
timetothrive,26,26,0,0,0,0
votesmart,26,0,0,0,26,0
australianagriculture,26,26,0,0,0,0
ausunions,26,1,1,16,0,8
indigenous,25,0,0,2,17,6
summerfoundation,25,25,0,0,0,0
voteforchange,25,0,0,1,17,7
architecturephotography,25,0,0,25,0,0
change,25,0,2,1,20,2
nomorescottmorrison,25,25,0,0,0,0
facebook,25,25,0,0,0,0
chaneyforcurtin,24,24,0,0,0,0
parliament,24,0,0,21,0,3
uap,24,0,22,0,0,2
pwd,24,24,0,0,0,0
lovelivo,24,0,0,0,24,0
solarpv,24,0,0,24,0,0
womenshealthweek,24,0,24,0,0,0
ypirac,24,24,0,0,0,0
willoughby,24,0,0,24,0,0
bantheflutes,24,24,0,0,0,0
australian,24,0,0,18,0,6
architecturehunter,24,0,0,24,0,0
liberal,24,9,3,1,0,11
naidoc,23,0,2,11,10,0
rac,23,23,0,0,0,0
dontdivideus,23,6,0,0,0,17
iwd2022,23,1,1,20,1,0
johnforthenationals,23,15,0,0,8,0
abortion,23,0,23,0,0,0
twu,22,0,0,3,19,0
bringbackned,22,0,0,0,22,0
newmoonforrichmond,22,22,0,0,0,0
palaszczukgovernment,22,0,0,20,0,2
alliedhealth,22,0,10,0,0,12
affordablehousing,22,0,0,19,1,2
politicians,22,0,0,20,2,0
nsw,22,1,10,9,0,2
palmerstonnt,22,0,0,22,0,0
covid19,22,5,1,8,0,8
betterworldforall2021,22,0,0,0,22,0
children,22,0,0,19,1,2
government,22,0,3,7,0,12
onkaparinga,22,0,0,13,3,6
perth,22,3,0,9,0,10
acceleratezero,22,22,0,0,0,0
agedcare,21,2,1,1,0,17
vote1columnh,21,21,0,0,0,0
tasmanian,21,0,2,19,0,0
sustainable,21,3,3,13,0,2
ourpeninsula,21,0,0,0,21,0
council,21,0,0,1,10,10
youth,21,0,0,16,0,5
health,21,0,0,13,0,8
shoplocal,21,1,0,11,0,9
healthcare,21,3,7,1,1,9
teamup4tamar,21,21,0,0,0,0
northernvictoria,21,0,0,21,0,0
abcnews,21,0,0,15,0,6
animalcruelty,21,0,1,0,0,20
bec4senate,21,21,0,0,0,0
palmerston,20,0,0,20,0,0
mornpentogether,20,0,0,0,20,0
local,20,0,0,4,10,6
strongertogether,20,1,0,7,2,10
defendourndis,20,20,0,0,0,0
territorytogether,20,0,0,20,0,0
stopliveexports,20,0,0,0,0,20
unitedaustraliaparty,20,0,20,0,0,0
localcouncil,20,0,0,17,1,2
democracylost,20,0,0,20,0,0
justiceformatthewandkate,20,0,0,20,0,0
ourwhitsunday,20,0,0,20,0,0
jacquihawkins,20,0,0,0,20,0
16days,20,0,0,0,19,1
hometobilo,20,7,0,0,0,13
lordmayor,20,0,0,0,20,0
election22,20,0,1,1,0,18
roughit4rockingham,20,0,1,0,0,19
communityservice,20,0,0,18,0,2
housingandsupport,20,20,0,0,0,0
architexture,20,0,0,20,0,0
miseryincaptivity,20,0,0,20,0,0
voteforlocal,19,19,0,0,0,0
discovertasmania,19,0,0,19,0,0
cowpervotes,19,15,0,0,0,4
localgovernment,19,0,0,2,5,12
adelaidecitycouncil,19,0,0,0,17,2
jacqui4benambra,19,0,0,0,19,0
publicservice,19,0,3,16,0,0
ramadan,19,0,0,0,18,1
changeincowper,19,15,0,0,0,4
womenandchildren,19,0,0,1,18,0
voting,19,0,0,9,1,9
proudlylocal,19,0,0,19,0,0
tassiestyle,19,0,0,19,0,0
tassie,19,0,0,19,0,0
councilelection,19,0,0,0,2,17
keepcalm,19,0,0,0,0,19
sydney,19,0,2,13,0,4
construction,19,4,1,14,0,0
supportsmallbusiness,19,1,0,6,8,4
downto10days,19,19,0,0,0,0
instaarchitecture,19,0,0,19,0,0
climateemergency,18,4,1,8,0,5
solar,18,1,0,16,0,1
vicparliament,18,0,0,18,0,0
news,18,1,0,10,0,7
memfirst,18,0,0,0,18,0
changeagedcare,18,0,0,18,0,0
danandrews,18,7,0,9,0,2
grassroots,18,1,0,2,1,14
insiders,18,0,0,18,0,0
myvicparliament,18,0,0,18,0,0
csenergy,18,0,18,0,0,0
northryde,18,18,0,0,0,0
alboforpm,18,0,0,15,0,3
omicron,18,11,0,0,0,7
annualappeal,18,0,0,18,0,0
humanrights,18,1,0,0,5,12
solarpower,18,0,0,16,0,2
worldpharmacistsday,18,0,0,0,0,18
scottmorrison,18,16,0,0,0,2
zakattoday,18,0,0,0,18,0
buildchilled,18,0,0,0,0,18
realtalk,18,0,0,0,18,0
speakupscomo,17,0,17,0,0,0
yourtoolkit,17,0,0,17,0,0
solarenergy,17,0,4,13,0,0
breakfreetofly,17,0,0,0,0,17
savotes,17,13,1,1,0,2
federalbudget,17,5,0,12,0,0
qldpol,17,2,0,10,0,5
covid,17,5,0,4,0,8
marchforjustice,17,0,17,0,0,0
northepping,17,16,0,0,0,1
police,17,0,0,17,0,0
alburywodonga,17,0,0,17,0,0
prepoll,17,13,0,0,4,0
arabnews,17,17,0,0,0,0
australiavotes,17,10,0,0,0,7
saparli,17,3,0,1,0,13
freedom,17,3,12,0,0,2
speakupalbo,17,0,17,0,0,0
socialdemocracy,17,0,0,17,0,0
livingarchitectureaustralia,17,0,0,17,0,0
australiannews,17,17,0,0,0,0
stopliveanimalexports,17,0,0,0,0,17
downto10,17,17,0,0,0,0
animals,17,0,0,0,0,17
worthy,17,17,0,0,0,0
mornington,16,0,0,0,8,8
careconnectchange,16,0,0,0,0,16
theregionsmatter,16,0,0,16,0,0
standwithukraine,16,16,0,0,0,0
politica,16,0,0,16,0,0
leadership,16,1,1,8,3,3
infrastructure,16,5,0,3,1,7
