bylines,mean_prob_outside,mean_prob_inside,shift,total_spend,n_ads,mean_election_prob_weighted
Community and Public Sector Union,0.330673536923145,,,99.0,2,0.330673536923145
Compass.info,0.13722052076452315,,,1097.0,6,0.09902198542414001
Connor Nicholas Andreatidis,0.9171625993837664,,,445.5,9,0.9171625993837664
Conservation Council SA,0.8305601833764438,,,198.0,4,0.8305601833764439
Conservation Council of South Australia,0.6484599290526141,0.7351460808571678,0.08668615180455375,1845.5,9,0.6857247552849198
Conservation Council of Western Australia,0.25055880662689145,,,599.0,2,0.23482397780897019
Conservation Council of Western Australia (CCWA),0.10082271065871898,,,4987.0,26,0.05641213247436989
Conservative Political Action Network Ltd,0.17517331073712955,,,29372.5,55,0.39840192456615225
Construction Forestry Mining Maritime and Energy Union,0.9415387107083969,,,8032.5,35,0.9417367289626832
Construction Forestry Mining and Energy Union Vic-Tas,0.3262828358547859,0.7830569958163808,0.45677415996159487,8843.0,14,0.43060588050918325
Cooperative Power,0.2124777350645346,,,597.0,6,0.21247773506453457
Corporation of the City of Whyalla,0.6690910965995045,,,846.5,7,0.6083800624014195
Corrine McMillan MP,0.2552057786801428,0.12880199822470426,-0.12640378045543857,2826.5,47,0.2665413190904177
Costas A Vasili,0.38558936337787286,,,647.5,5,0.38558936337787286
CotaSA,0.9122386941935382,,,3446.5,7,0.9408093099937448
Council Reference Group,0.9560524453818046,,,899.0,2,0.9612591500097538
Council of Small Business Organisations Australia,0.13364453276610178,,,149.5,1,0.13364453276610178
Councillor David Wilkins,0.29193349644639,0.22816266854019762,-0.06377082790619237,697.0,6,0.33907522704846754
